tag,patterns,responses
december vacations,qué lugares recomiendas,"Ciudad del Carmen: Ubicada en el sureste de México, Ciudad del Carmen es una joya natural protegida por diversas instituciones. La ciudad es conocida por sus edificaciones coloniales,  deliciosos restaurantes de mariscos y claro, sus playas, ideales para descansar bajo el sol o practicar algún deporte acuático. Puedes visitar sus manglares alrededor de la Laguna de Términos, aventurarte en la selva, o recorrer el Museo Victoriano Nieves, el cual muestra la historia local y una colección de distintos artefactos prehispánicos."
december vacations,qué lugares recomiendas,"Xilitla: La Huasteca es mágica y maravillosa en cada uno de sus rincones. Tanto su ambiente como sus espectaculares paisajes la han transformado en el destino de muchos turístas nacionales a internacionales. Fuera del pintoresco pueblo lleno de lugares para tomar un rico café o probar las enchiladas huastecas. Pero lo que va a imapctarte más que todo será su naturaleza. La Cascada de los Comales, temazcales y el Jardín Surrealista de Edward James, una atracción imperdible si visitas la zona."
december vacations,qué lugares recomiendas,"Aguascalientes: Famosa por sus bonitas calles, y románticos callejones. No te pierdas la oportunidad de pasear por el centro, conocer el Museo de Aguascalientes, la Plaza de las 3 Centurias o recorrer el Parque Aventura Boca de Túnel, simplemente imperdible para los amantes del ecoturismo."
december vacations,qué lugares recomiendas,"Chignahuapan: Una región tranquila y poco concurrida para aquellos que buscan unas vacaciones exclusivas. Chignahuapan está ubicado en la Sierra Norte de Puebla, y es famoso por su fabricación de esferas navideñas, lo que lo transforma en un pueblo mágico ideal para pasar la navidad. Puedes visitar las cascadas cercanas o visitar la Basílica de la Inmaculada Concepción con la imagen de la Virgen más grande del mundo, hacerte una foto en el famoso Quisco de madera en el centro de la ciudad, visitar la zona de la laguna."
december vacations,qué lugares recomiendas,"Nueva York: Hay pocos sitios más especiales que Nueva York para disfrutar de la Navidad. Aunque es un destino ideal durante todo el año, la Gran Manzana luce espléndida decorada con las luces mágicas de Navidad. Además hay un montón de cosas que hacer en Nueva York que solo las podrás disfrutar durante esas fechas. Por ejemplo alucinar con el árbol de Navidad en el Rockefeller o patinar por la pista de hielo en Bryant Park. Además también hay un montón de mercados navideños preciosos en toda la ciudad muy bien decorados."
december vacations,qué lugares recomiendas,"Rovaniemi (Finlandia): Diciembre es sinónimo de Navidad. ¿Y hay un sitio mejor que la tierra de Santa Claus? Esta ciudad se encuentra en pleno corazón de Laponia, en el Círculo Polar Ártico. Así que no deberás esperar a que Santa Claus te traiga los regalos, esta vez se los puedes ir a buscar y de paso conocer una de las zonas más bonitas que ver en Finlandia. Pero Rovaniemi es mucho más que Santa Claus y su pueblo (donde dicen que es originario). Déjate llevar por sus preciosos bosques nevados, recórrelos a toda pastilla en una moto de nieve y disfruta de la oportunidad de ver auroras boreales. Durante esas fechas tendrás un montón de posibilidades de ver este curioso fenómeno."
december vacations,qué lugares recomiendas,"1.Bosques de Monterreal, Coahuila, 2.Valle de Bravo, Estado de México, 3.Batopilas, Chihuahua, 4.San José de Gracia, Aguascalientes, 5.Ciudad de México, 6.Huamantla, Tlaxcala"
december vacations,qué lugares recomiendas,Bosques de Monterreal en Coahuila
december vacations,qué lugares recomiendas,Valle de Bravo en Estado de México
december vacations,qué lugares recomiendas,Estado de México
december vacations,qué lugares recomiendas,Batopilas en Chihuahua
december vacations,qué lugares recomiendas,San José de Gracia en Aguascalientes
december vacations,qué lugares recomiendas,Ciudad de México
december vacations,qué lugares recomiendas,Huamantla en Tlaxcala
december vacations,a dónde puedo ir estas vacaciones,"Ciudad del Carmen: Ubicada en el sureste de México, Ciudad del Carmen es una joya natural protegida por diversas instituciones. La ciudad es conocida por sus edificaciones coloniales,  deliciosos restaurantes de mariscos y claro, sus playas, ideales para descansar bajo el sol o practicar algún deporte acuático. Puedes visitar sus manglares alrededor de la Laguna de Términos, aventurarte en la selva, o recorrer el Museo Victoriano Nieves, el cual muestra la historia local y una colección de distintos artefactos prehispánicos."
december vacations,a dónde puedo ir estas vacaciones,"Xilitla: La Huasteca es mágica y maravillosa en cada uno de sus rincones. Tanto su ambiente como sus espectaculares paisajes la han transformado en el destino de muchos turístas nacionales a internacionales. Fuera del pintoresco pueblo lleno de lugares para tomar un rico café o probar las enchiladas huastecas. Pero lo que va a imapctarte más que todo será su naturaleza. La Cascada de los Comales, temazcales y el Jardín Surrealista de Edward James, una atracción imperdible si visitas la zona."
december vacations,a dónde puedo ir estas vacaciones,"Aguascalientes: Famosa por sus bonitas calles, y románticos callejones. No te pierdas la oportunidad de pasear por el centro, conocer el Museo de Aguascalientes, la Plaza de las 3 Centurias o recorrer el Parque Aventura Boca de Túnel, simplemente imperdible para los amantes del ecoturismo."
december vacations,a dónde puedo ir estas vacaciones,"Chignahuapan: Una región tranquila y poco concurrida para aquellos que buscan unas vacaciones exclusivas. Chignahuapan está ubicado en la Sierra Norte de Puebla, y es famoso por su fabricación de esferas navideñas, lo que lo transforma en un pueblo mágico ideal para pasar la navidad. Puedes visitar las cascadas cercanas o visitar la Basílica de la Inmaculada Concepción con la imagen de la Virgen más grande del mundo, hacerte una foto en el famoso Quisco de madera en el centro de la ciudad, visitar la zona de la laguna."
december vacations,a dónde puedo ir estas vacaciones,"Nueva York: Hay pocos sitios más especiales que Nueva York para disfrutar de la Navidad. Aunque es un destino ideal durante todo el año, la Gran Manzana luce espléndida decorada con las luces mágicas de Navidad. Además hay un montón de cosas que hacer en Nueva York que solo las podrás disfrutar durante esas fechas. Por ejemplo alucinar con el árbol de Navidad en el Rockefeller o patinar por la pista de hielo en Bryant Park. Además también hay un montón de mercados navideños preciosos en toda la ciudad muy bien decorados."
december vacations,a dónde puedo ir estas vacaciones,"Rovaniemi (Finlandia): Diciembre es sinónimo de Navidad. ¿Y hay un sitio mejor que la tierra de Santa Claus? Esta ciudad se encuentra en pleno corazón de Laponia, en el Círculo Polar Ártico. Así que no deberás esperar a que Santa Claus te traiga los regalos, esta vez se los puedes ir a buscar y de paso conocer una de las zonas más bonitas que ver en Finlandia. Pero Rovaniemi es mucho más que Santa Claus y su pueblo (donde dicen que es originario). Déjate llevar por sus preciosos bosques nevados, recórrelos a toda pastilla en una moto de nieve y disfruta de la oportunidad de ver auroras boreales. Durante esas fechas tendrás un montón de posibilidades de ver este curioso fenómeno."
december vacations,a dónde puedo ir estas vacaciones,"1.Bosques de Monterreal, Coahuila, 2.Valle de Bravo, Estado de México, 3.Batopilas, Chihuahua, 4.San José de Gracia, Aguascalientes, 5.Ciudad de México, 6.Huamantla, Tlaxcala"
december vacations,a dónde puedo ir estas vacaciones,Bosques de Monterreal en Coahuila
december vacations,a dónde puedo ir estas vacaciones,Valle de Bravo en Estado de México
december vacations,a dónde puedo ir estas vacaciones,Estado de México
december vacations,a dónde puedo ir estas vacaciones,Batopilas en Chihuahua
december vacations,a dónde puedo ir estas vacaciones,San José de Gracia en Aguascalientes
december vacations,a dónde puedo ir estas vacaciones,Ciudad de México
december vacations,a dónde puedo ir estas vacaciones,Huamantla en Tlaxcala
despedida,ok,Me alegro de haberte ayudado
despedida,ok,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,okie,Me alegro de haberte ayudado
despedida,okie,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,Buen trabajo,Me alegro de haberte ayudado
despedida,Buen trabajo,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,bien hecho,Me alegro de haberte ayudado
despedida,bien hecho,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,buen trabajo,Me alegro de haberte ayudado
despedida,buen trabajo,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,gracias por la ayuda,Me alegro de haberte ayudado
despedida,gracias por la ayuda,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,Gracias,Me alegro de haberte ayudado
despedida,Gracias,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,está bien,Me alegro de haberte ayudado
despedida,está bien,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,Gracias,Me alegro de haberte ayudado
despedida,Gracias,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,Buen trabajo,Me alegro de haberte ayudado
despedida,Buen trabajo,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,ok,Me alegro de haberte ayudado
despedida,ok,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
despedida,okay,Me alegro de haberte ayudado
despedida,okay,"De nada, ¿cualquier otra cosa con la que pueda ayudarlo?"
task,Qué puedes hacer,Puedo ayudarte con tu viaje
task,Qué puedes hacer,Puedes hacerme preguntas sobre el destino a donde quieras viajar
task,Qué puedes hacer,Puedo darte recomendaciones para tus viajes
task,¿Qué es lo que puedes hacer?,Puedo ayudarte con tu viaje
task,¿Qué es lo que puedes hacer?,Puedes hacerme preguntas sobre el destino a donde quieras viajar
task,¿Qué es lo que puedes hacer?,Puedo darte recomendaciones para tus viajes
task,cosas que puedes hacer,Puedo ayudarte con tu viaje
task,cosas que puedes hacer,Puedes hacerme preguntas sobre el destino a donde quieras viajar
task,cosas que puedes hacer,Puedo darte recomendaciones para tus viajes
task,Qué puedes hacer por mí,Puedo ayudarte con tu viaje
task,Qué puedes hacer por mí,Puedes hacerme preguntas sobre el destino a donde quieras viajar
task,Qué puedes hacer por mí,Puedo darte recomendaciones para tus viajes
task,como puedes ayudarme,Puedo ayudarte con tu viaje
task,como puedes ayudarme,Puedes hacerme preguntas sobre el destino a donde quieras viajar
task,como puedes ayudarme,Puedo darte recomendaciones para tus viajes
task,Por qué debería usarte,Puedo ayudarte con tu viaje
task,Por qué debería usarte,Puedes hacerme preguntas sobre el destino a donde quieras viajar
task,Por qué debería usarte,Puedo darte recomendaciones para tus viajes
